GCA_007860005.1_SMSM01000002.1	seq0
GCA_007860005.1_SMSM01000001.1	seq1
GCA_004282735.1_SHMS01000027.1	seq2
GCA_002050325.1_MWTF01000012.1	seq3
GCA_002848945.1_PJZV01000035.1	seq4
GCA_007618155.1_PHFZ01000051.1	seq5
GCA_001753675.2_MJUW02000123.1	seq6
GCA_008933285.1_WBVH01000046.1	seq7
GCA_008933285.1_WBVH01000397.1	seq8
GCA_002009475.1_AYTS01000080.1	seq9
GCA_002009475.1_AYTS01000114.1	seq10
GCA_007618135.1_PHFX01000127.1	seq11
GCA_007618135.1_PHFX01000032.1	seq12
GCA_003577195.1_QEUK01000129.1	seq13
GCA_000987375.1_LAQJ01000049.1	seq14
GCA_002050315.1_MWTE01000011.1	seq15
GCA_000949635.1_BAFN01000001.1	seq16
GCA_008363395.1_RHKZ01000009.1	seq17
GCA_008363395.1_RHKZ01000016.1	seq18
GCA_008363395.1_RHKZ01000023.1	seq19
GCA_008363395.1_RHKZ01000032.1	seq20
GCA_003577215.1_QEUJ01000030.1	seq21
GCA_003577215.1_QEUJ01000008.1	seq22
GCA_003577215.1_QEUJ01000012.1	seq23
GCA_003577215.1_QEUJ01000037.1	seq24
GCA_001567345.1_JZEK01000014.1	seq25
GCA_001567345.1_JZEK01000067.1	seq26
GCA_000296795.1_BAFH01000001.1	seq27
GCA_000296795.1_BAFH01000004.1	seq28
GCA_000296795.1_BAFH01000002.1	seq29
GCA_900696475.1_CAADGF010000128.1	seq30
GCA_900696475.1_CAADGF010000014.1	seq31
GCA_005524015.1_SULG01000157.1	seq32
GCA_005524015.1_SULG01000079.1	seq33
GCA_900696655.1_CAADGX010000031.1	seq34
GCA_900232105.1_LT934425.1	seq35
GCA_900232175.1_OCTL01000069.1	seq36
GCA_900232175.1_OCTL01000053.1	seq37
GCA_900232175.1_OCTL01000042.1	seq38
GCA_900232175.1_OCTL01000095.1	seq39
GCA_900232175.1_OCTL01000126.1	seq40
GCA_000315115.1_AMCG01002637.1	seq41
GCA_000315095.1_AMCF01000267.1	seq42
GCA_000315095.1_AMCF01000268.1	seq43
GCA_000315095.1_AMCF01000476.1	seq44
GCA_900696675.1_CAADGZ010000078.1	seq45
GCA_007618145.1_PHFY01000181.1	seq46
GCA_000786775.1_JRYO01000106.1	seq47
GCA_000786775.1_JRYO01000070.1	seq48
GCA_000786775.1_JRYO01000244.1	seq49
GCA_002632345.1_NSJQ01000060.1	seq50
GCA_002632345.1_NSJQ01000031.1	seq51
GCA_002443295.1_BAOS01000045.1	seq52
GCA_002443295.1_BAOS01000034.1	seq53
GCA_001828515.1_MHYQ01000158.1	seq54
GCA_001828515.1_MHYQ01000092.1	seq55
GCA_001828515.1_MHYQ01000079.1	seq56
GCA_001828595.1_MHZA01000047.1	seq57
GCA_001828595.1_MHZA01000052.1	seq58
GCA_001723765.1_MAYW01000018.1	seq59
GCA_001723765.1_MAYW01000344.1	seq60
GCA_008636105.1_VSDH01000027.1	seq61
GCA_008636105.1_VSDH01000007.1	seq62
GCA_004351875.1_RBMW01000007.1	seq63
GCA_008501815.1_QQTZ01000026.1	seq64
GCA_004282745.1_SHMT01000008.1	seq65
